"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.276,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.303,"P"
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.292,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.251,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.345,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"CRI","INCOMEINEQ","GINI","INEQ","A","2015",0.479,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
